review,sentiment
"Film yang luar biasa, saya sangat menikmatinya!",positive
"Tidak layak ditonton, sangat membosankan.",negative
"Plotnya menarik sekali, aktingnya juga sangat bagus.",positive
"Alur ceritanya bisa ditebak, aktingnya biasa saja.",negative
"Salah satu film terbaik yang pernah saya tonton!",positive
"Buruk sekali, tidak akan saya rekomendasikan.",negative
"Pengalaman yang menyenangkan dengan penampilan yang luar biasa.",positive
"Film ini sangat mengecewakan, sia-sia waktu dan uang saya.",negative
"Film ini benar-benar menghibur, saya tertawa sepanjang waktu.",positive
"Jalan ceritanya datar, tidak ada yang menarik.",negative
"Seharusnya film ini lebih menarik, tetapi malah membosankan.",negative
"Film ini sangat menginspirasi dan penuh dengan emosi.",positive
"Saya terkesan dengan efek visual yang luar biasa.",positive
"Alur ceritanya lambat dan membosankan.",negative
"Menonton film ini adalah pengalaman yang luar biasa!",positive
"Film ini terlalu lama dan penuh dengan klise.",negative
"Sepertinya saya akan menonton film ini lagi, sangat menghibur.",positive
"Aktingnya buruk dan cerita yang sangat lemah.",negative
"Saya sangat menikmati film ini dari awal hingga akhir.",positive
"Film ini mengundang rasa bosan dan tidak ada hal menarik.",negative
